what students written,remarks,ground_truth
පාසල වෙත පිය නගන සිසූහු උදෑසන තව තවත්,correct,පාසල වෙත පිය නගන සිසූහු උදෑසන තව තවත්
අසිරිමත් කරති.,correct,අසිරිමත් කරති.
ඒ කොහොමද සීයේ මනුක ඇසුවා,Punctuation,"""ඒ කොහොමද සීයේ"" මනුක ඇසුවා."
"හවසට ආප්ප, පිට්ටු ඉඳි ආප්ප විකිණීමට",correct,"හවසට ආප්ප, පිට්ටු ඉඳි ආප්ප විකිණීමට"
තෑග්ග දුටු නිමල් ෂා හරිම ලස්සනයි කිව්වා,Punctuation,"තෑග්ග දුටු නිමල් ""ෂා හරිම ලස්සනයි"" කිව්වා"
පුතේ ඔයා මෙහෙට එනව ද,Punctuation,පුතේ ඔයා මෙහෙට එනව ද?
පත්තරේ දානවා යනුවෙන් හඳුන්වන්නේ,correct,පත්තරේ දානවා යනුවෙන් හඳුන්වන්නේ
අර තනි කකුලෙ මේසයක් කවීෂා කිව්වා,Punctuation,"""අර තනි කකුලෙ මේසයක්"" කවීෂා කිව්වා."
ඔබද මේක ලිව්වේ,Punctuation,ඔබද මේක ලිව්වේ?
ග ජ ඩ ද බ,correct,ග ජ ඩ ද බ
2 මහප්‍රාණ අක්ෂර,correct,2 මහප්‍රාණ අක්ෂර
ඛ ඡ ඪ ථ ඵ,correct,ඛ ඡ ඪ ථ ඵ
අලපප්‍රාණ අක්ෂර,Vowel/diacritic,අල්පප්‍රාණ අක්ෂර
ඝ ඣ ඪ ධ භ,correct,ඝ ඣ ඪ ධ භ
ක ච ට ත ප,correct,ක ච ට ත ප
3. මුර්ධජ් අක්ෂර - 3 කි,correct,3. මුර්ධජ් අක්ෂර - 3 කි
ණ ළ ෂ,correct,ණ ළ ෂ
5. සඤ්ඤක අක්ෂර - 5 කි,correct,5. සඤ්ඤක අක්ෂර - 5 කි
උගතා මනා ශිල්පය ම යි මතු රැකෙනා.,correct,උගතා මනා ශිල්පය ම යි මතු රැකෙනා.
උගතා මනා ශිල්පය ම යි මතු රැකෙනා,correct,උගතා මනා ශිල්පය ම යි මතු රැකෙනා
විස්තර කථන,correct,විස්තර කථන
පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,correct,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
ගොඩනැගිල්ලක් විවෘත කිරීමක්,correct,ගොඩනැගිල්ලක් විවෘත කිරීම
පොළක්,correct,පොළක්
"ක්‍රිකට්, ෆිට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන අවස්ථා -",Vowel/diacritic,"ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන අවස්ථා -"
පෙරහැරක් . . . .ආදි,correct,පෙරහැරක්... ආදීි
චරිතා රෝපිත ව ලිවීම කියවීම,Word boundary,චරිතාරෝපිත ව ලිවීම කියවීම
මම පවතක් වෙමි.,correct,මම පවතක් වෙමි.
තීන්ත හා කඩදාසි යොදාගෙන මම මුද්‍රණ,correct,තීන්ත හා කඩදාසි යොදාගෙන මම මුද්‍රණ
යන්ත්‍රයෙන් උපත ලබමි.,correct,යන්ත්‍රයෙන් උපත ලබමි.
"රටේ සිදුවන වැදගත් සිදුවීම්, වෙනස්කම්",correct,"රටේ සිදුවන වැදගත් සිදුවීම්, වෙනස්කම්"
හා දැන්වීම් ආදිය මගෙන් දැනගත හැකි,correct,හා දැන්වීම් ආදිය මගෙන් දැනගත හැකි
ලොකු කුඩා සෑම දෙනාගේ ම දැනුම වර්ධනය,missing word/letter,ලොකු කුඩා සෑම දෙනාගේ ම දැනුම වර්ධ
ය සඳහා මම විශාල මෙහෙරක් ඉටු කරමි.,correct,ය සඳහා මම විශාල මෙහෙරක් ඉටු කරමි.
මම ගුරුවරියෙක් වෙමි.,correct,මම ගුරුවරියෙක් වෙමි.
මම සෑම දරුවෙකුටම එක සේ සලකමි,Punctuation,මම සෑම දරුවෙකුටම එක සේ සලකමි.
දැනුම මෙන්ම හොඳ ආකල්ප මම,correct,දැනුම මෙන්ම හොඳ ආකල්ප මම
න්ට ලබා දෙමි.,correct,න්ට ලබා දෙමි.
හොඳින් ඉගෙන ගන්නා දරුවන් දැකීමෙන්,correct,හොඳින් ඉගෙන ගන්නා දරුවන් දැකීමෙන්
මා හට සතුටක් ගෙන දෙයි.,correct,මා හට සතුටක් ගෙන දෙයි.
ඉගෙන ගැනීමට කම්මැළි ළමුන් දකිනා,correct,ඉගෙන ගැනීමට කම්මැළි ළමුන් දකිනා
විට මා හට දුකක් ගෙන දෙයි.,correct,විට මා හට දුකක් ගෙන දෙයි.
මගෙන් ඉගෙන ගත් දරුවන් රටට,correct,මගෙන් ඉගෙන ගත් දරුවන් රටට
වැඩදායි දරුවකු වනු දැකීම මාගේ,correct,වැඩදායි දරුවකු වනු දැකීම මාගේ
එකම බලාපොරොත්තුවයි.,correct,එකම බලාපොරොත්තුවයි.
යෙදෙන වචන ලි,correct,යෙදෙන වචන ලි
රුලං,correct,රුලං
සුළඟ,correct,සුළඟ
විස්තර කථන,correct,විස්තර කථන
"යම් අවස්ථාවක්, සිද්ධියක්, දෙස බලා සිට ඒ පිළිබඳ ව",correct,"යම් අවස්ථාවක්, සිද්ධියක්, දෙස බලා සිට ඒ පිළිබඳව"
විස්තර කර දීම විස්තර කථනයක් ලෙසින් හඳුන්වයි,Punctuation,විස්තර කර දීම විස්තර කථනයක් ලෙසින් හඳුන්වයි.
"ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන අවස්ථා",correct,"ක්‍රිකට්, ෆුට්බෝල් වැනි ක්‍රීඩා පැවැත්වෙන අවස්ථා"
පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්,correct,පාසලේ පැවැත්වෙන ක්‍රීඩා උත්සවයක්
ගොඩනැගිල්ලක් විවෘත කිරීමක්,correct,ගොඩනැගිල්ලක් විවෘත කිරීම
පොළක්,correct,පොළක්
පෙරහැරක්... ආදී,correct,පෙරහැරක්... ආදී
3. හොඳට,correct,3. හොඳට
4. ළඟට,correct,4. ළඟට
5. ඇඟිලි,correct,5. ඇඟිලි
6. දබරැගිල්ල,Retroflex,7. දබරැඟිල්ල
7. මැදැගිල්ල,Retroflex,7. මැදැඟිල්ල
මාලා ගාල්ලට යනවා,Punctuation,මාලා ගාල්ලට යනවා.
තාරාවා පාරට ආවා,Punctuation,තාරාවා පාරට ආවා.
මාමා මාලයක් ගත්තා,Punctuation,මාමා මාලයක් ගත්තා.
නයනා මාතරට ආවා,Punctuation,නයනා මාතරට ආවා.
කොමාව,correct,කොමාව
වාක්‍යයක් අවසාන වීමට පෙර තබන,correct,වාක්‍යයක් අවසාන වීමට පෙර තබන
"* මම උදෑසන අවදි වී, දත් මැද මුහුණ",correct,"* මම උදෑසන අවදි වී, දත් මැද මුහුණ"
පාසල් ගියෙමි.,correct,පාසල් ගියෙමි.
"මාත් අම්මායි, තාත්තායි දෙන්නම",correct,"මාත් අම්මායි, තාත්තායි දෙන්නම"
බලා ගන්නවා.,correct,බලා ගන්නවා.
"නිල කබායක්, වැස්සට අදින කබායක්, තොප්පි",correct,"නිල කබායක්, වැස්සට අදින කබායක්, තොප්පි"
යක් ද පොලීසියෙන් ඇයට ලැබුණු තෑගිය.,correct,යක් ද පොලීසියෙන් ඇයට ලැබුණු තෑගිය.
"ඇරිස්ටෝවල්, රොටියක් සේ වටකුරු පුප",missing word/letter,"ඇරිස්ටෝවල්, රොටියක් සේ වටකුරු "
ගෙන එය හිරු එළියට ඇල්ලී ය.,correct,ගෙන එය හිරු එළියට ඇල්ලී ය.
"ජීවක වෛද්‍යතුමනි, මාහට අවුරුදු හයක්",correct,"ජීවක වෛද්‍යතුමනි, මාහට අවුරුදු හයක්"
තිස්සේ ම නින්දක් නැත.,correct,තිස්සේ ම නින්දක් නැත.
"ක්ලැරිබෙල්, කහ පාට කැනේරි වර්ගයට",correct,"ක්ලැරිබෙල්, කහ පාට කැනේරි වර්ගයට"
අයත් කුඩා ෂක්ෂියෙක්,correct,අයත් කුඩා ෂක්ෂියෙක්
ගැන සැලකිලිමක් විය යුතුය,Punctuation,ගැන සැලකිලිමක් විය යුතුය.
සත්ව,missing word/letter,සත්ත්ව
පක්ෂියකු,correct,පක්ෂියකු
මීයා,correct,මීයා
කුකුළා,correct,කුකුළා
බකමූණා,correct,බකමූණා
ඌරා,correct,ඌරා
හාවා,correct,හාවා
පුද්ගල නාමපද,correct,පුද්ගල නාමපද
බින්දු,correct,බින්දු
පොලීසිය,correct,පොලීසිය
ඔල්සන්,correct,ඔල්සන්
නංගි,correct,නංගි
රට,correct,රට
පාසල,correct,පාසල
හැරමිටිය,correct,හැරමිටිය
කෝටුව,correct,කෝටුව
ගෙදර,correct,ගෙදර
ගේට්ටුව,correct,ගේට්ටුව
කුරුණෑගල,correct,කුරුණෑගල
පොත,correct,පොත
වැල්,correct,වැල්
පහත ප්‍රස්ථාව පිරුළුවල තේරුම,correct,පහත ප්‍රස්ථාව පිරුළුවල තේරුම
ලියන්න,correct,ලියන්න
ඉබ්බාගෙන් පිහාටු ඉල්ලනවා වගේ,Punctuation,ඉබ්බාගෙන් පිහාටු ඉල්ලනවා වගේ.
කෙනෙකුගෙන් කෙසේවත් ලබා ගත,correct,කෙනෙකුගෙන් කෙසේවත් ලබා ගත
මුවා,correct,මුවා
තුන,correct,තුන
මුල,correct,මුල
දුර,correct,දුර
රුවල,correct,රුවල
රාජකාරිය නිවැරදිව කිරීම,Punctuation,රාජකාරිය නිවැරදිව කිරීම.
පාසලට එන දරුවන් ආරක්ෂිතව පාර මාරු කිරීම.,correct,පාසලට එන දරුවන් ආරක්ෂිතව පාර මාරු කිරීම.
තොමෝ දරුවන්ට මෙන්ම වැඩිහිටියන්ට ද මාර්ග,correct,තොමෝ දරුවන්ට මෙන්ම වැඩිහිටියන්ට ද මාර්ග
නීති මතක් කර දෙයි.,correct,නීති මතක් කර දෙයි.
දරුවන්ට කරුණාවෙන් මග පෙන්වීම.,correct,දරුවන්ට කරුණාවෙන් මග පෙන්වීම.
කිසිදු ප්‍රතිලාභයක් ලබා නොගෙන ඇය සිදු කරන,correct,කිසිදු ප්‍රතිලාභයක් ලබා නොගෙන ඇය සිදු කරන
පිහිටා තිබුණු පොල් මුල,correct,පිහිටා තිබුණු පොල් මුල
"මගේ මාලිගාව, දිව්‍ය",correct,"මගේ මාලිගාව, දිව්‍ය"
බලා ලිවීම,correct,බලා ලිවීම
වත්ත කෙළවරේ උස්,correct,වත්ත කෙළවරේ උස්
"වනය, සිරිපාද කන්ද, පාස",correct,"වනය, සිරිපාද කන්ද, පාස"
තරම් හීන මවන්න මට,correct,තරම් හීන මවන්න මට
බලා ලිවීම,correct,බලා ලිවීම
ඇගේ ගම ගිංතොට ය එය ගාල,missing word/letter,ඇගේ ගම ගිංතොට ය එය ගාල්ල
"ගම්මානයකි. මල්, පලතුරු, ගහකොළවලින්",Word boundary,"ගම්මානයකි. මල්, පලතුරු, ගහ කොළ වලින්"
